Gene_enc,drug_name_pgx_enc,atc_level2_clean_enc,atc_level4_clean_enc,Significance_enc,pmid_n,is_rsid,is_starallele,has_copy_number,variant_len,sentence_len_w,notes_len_w,y_primary,y_toxicity,y_efficacy,y_metabolism,y_dosage,y_other,y_pd
36,87,6,9,2,1,1,0,0,6,15,7,1,1,0,0,0,0,0
247,32,13,23,3,1,0,0,0,26,23,52,0,0,1,0,0,0,0
511,3,11,19,4,0,1,0,0,9,22,7,0,0,1,0,0,0,0
926,84,6,10,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
201,104,5,8,2,1,1,0,0,10,17,20,1,1,1,0,0,0,0
956,77,14,28,4,1,1,0,0,9,20,21,0,0,0,1,0,0,0
603,75,4,5,4,1,1,0,0,9,16,52,1,1,0,1,0,0,0
29,53,13,23,4,1,1,0,0,7,9,80,1,1,0,1,0,0,0
482,104,5,8,2,1,1,0,0,8,17,20,1,1,1,0,0,0,0
694,63,6,12,2,1,1,0,0,8,23,19,0,0,1,0,0,0,0
603,135,6,12,4,1,0,0,0,20,15,87,0,0,0,0,0,1,0
966,152,1,1,0,1,1,0,0,9,7,6,0,0,0,0,1,0,0
430,1,5,6,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
643,84,6,10,2,1,1,0,0,11,16,39,0,0,0,0,0,1,0
322,111,1,1,2,1,1,0,0,8,17,47,0,0,0,1,1,0,0
454,7,18,33,4,1,1,0,0,6,22,19,0,0,1,0,0,0,0
434,135,6,12,2,1,0,1,0,14,18,72,0,0,1,0,0,0,0
946,66,5,8,4,1,0,1,0,9,16,38,1,1,0,0,0,0,0
392,132,5,8,2,1,1,0,0,10,25,28,0,0,1,0,0,0,0
430,4,12,22,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
663,144,18,33,2,1,1,0,0,9,25,17,0,0,1,0,0,0,0
103,42,6,12,4,1,1,0,0,9,17,56,0,0,1,0,0,0,0
430,23,14,26,0,1,1,0,0,10,7,6,1,1,0,0,0,0,0
247,41,5,8,3,1,0,1,0,19,14,57,0,0,0,1,0,0,0
30,53,13,23,4,1,1,0,0,9,9,80,1,1,0,1,0,0,0
541,54,5,8,2,0,1,0,0,9,18,83,0,0,1,0,0,0,0
278,65,13,23,2,1,1,0,0,9,15,29,1,1,0,0,0,0,0
104,43,18,33,2,0,1,0,0,9,21,25,0,0,1,0,0,0,0
695,49,18,33,3,1,1,0,0,8,20,1,0,0,1,0,0,0,0
418,35,5,8,4,1,1,0,0,9,15,17,0,0,0,0,0,1,0
250,104,5,8,2,1,1,0,0,10,21,18,1,1,1,0,0,0,0
244,30,1,2,0,1,1,0,0,9,7,6,0,0,1,0,0,0,0
430,1,5,6,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
281,10,18,33,2,1,1,0,0,9,18,1,0,0,1,0,0,0,0
247,48,18,33,4,1,0,0,0,32,21,112,0,0,0,1,0,0,0
108,80,18,33,3,0,1,0,0,6,19,37,0,0,1,0,0,0,0
252,142,13,24,3,1,0,1,0,18,20,28,0,0,0,1,0,0,0
247,90,13,23,4,1,0,0,0,54,33,75,0,0,1,0,0,0,0
482,104,5,8,2,1,1,0,0,8,17,20,1,1,1,0,0,0,0
567,147,18,33,2,1,1,0,0,11,15,27,0,0,0,1,0,0,0
334,10,18,33,2,1,1,0,0,9,18,24,1,1,1,0,0,0,0
946,66,5,8,4,1,0,1,0,9,16,38,1,1,0,0,0,0,0
4,63,18,33,2,1,1,0,0,9,21,18,1,1,1,0,0,0,0
785,52,5,8,2,1,1,0,0,10,28,1,0,0,1,0,0,0,0
938,109,5,8,4,1,1,0,0,10,23,57,0,0,1,0,0,0,0
837,126,3,4,4,1,0,1,0,22,17,55,0,0,0,1,0,0,0
837,130,3,4,1,1,1,0,0,9,7,6,1,1,0,0,0,0,0
278,65,13,23,2,1,1,0,0,10,14,16,1,1,0,0,0,0,0
244,138,10,18,2,1,0,1,0,43,27,29,0,0,0,1,0,0,0
306,79,18,33,2,1,1,0,0,7,25,1,0,0,1,0,0,0,0
252,137,11,20,2,1,1,0,0,9,21,53,0,0,0,1,0,0,0
258,63,18,33,2,1,1,0,0,10,17,20,1,1,1,0,0,0,0
246,152,1,1,0,1,1,0,0,9,7,6,0,0,0,0,1,0,0
953,4,12,22,4,1,1,0,0,10,20,12,0,0,0,0,1,0,0
430,1,5,6,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
4,87,6,9,2,1,1,0,0,10,18,1,0,0,0,1,0,0,0
866,33,18,33,2,1,1,0,0,9,18,59,0,0,1,0,0,0,0
182,43,18,33,4,0,1,0,0,9,22,55,0,0,1,0,0,0,0
244,78,18,33,4,1,0,0,0,35,25,25,0,0,1,0,0,0,0
247,39,18,33,4,1,0,1,0,29,23,1,0,0,0,1,0,0,0
108,50,16,30,2,0,1,0,0,8,27,29,0,0,1,0,0,0,0
430,23,14,26,0,1,1,0,0,10,7,6,1,1,0,0,0,0,0
118,27,6,12,2,1,1,0,0,10,11,1,1,1,0,0,0,0,0
7,35,5,8,2,1,1,0,0,8,16,1,0,0,0,0,0,1,0
430,4,12,22,0,1,1,0,0,9,7,6,1,1,0,0,0,0,0
643,84,6,10,4,1,1,0,0,11,21,12,0,0,0,0,1,0,0
643,84,6,10,4,1,0,1,0,28,21,97,1,1,0,0,0,0,0
244,151,5,8,3,1,0,1,0,10,15,89,0,0,0,1,0,0,0
